# t (s),mx (),my (),mz (),Edens_demag.region5 (J/m3),Edens_exch.region5 (J/m3),,
0,0.48452365,0.18126155,0,7627.94,-0.0007462823,,
0,0.48134732,0.1827091,0,7627.206,-0.0071421317,,
0,0.4781462,0.18410097,0,7626.66,-0.0011502191,,
0,0.4749213,0.18543676,0,7626.3,-0.0040542064,,
0,0.47167355,0.1867161,0,7626.1284,0.002727195,,
0,0.468404,0.18793853,0,7626.14,-0.009433465,,
0,0.4651136,0.18910371,0,7626.34,-0.0043342086,,
0,0.46180344,0.1902113,0,7626.7275,-0.0008920213,,
0,0.45847434,0.19126096,0,7627.3022,0.005412751,,
0,0.45512748,0.19225235,0,7628.062,-0.0034838815,,
0,0.4517638,0.19318517,0,7629.0083,-0.0009008273,,
0,0.44838437,0.19405915,0,7630.14,-0.0022224458,,
0,0.4449902,0.194874,0,7631.458,0.00047878938,,
0,0.44158235,0.19562952,0,7632.961,-0.0022609474,,
